Date,Open,High,Low,Volume,Adj Close,Close
2016-12-15,24.225,24.985001,24.15,74654800,24.321777,24.6775
2001-02-08,1.880208,1.986979,1.851563,38428800,1.705608,1.859375
2018-01-30,60.2775,61.605,59.602501,57083200,60.038319,60.68
2023-12-04,460.769989,460.769989,450.100006,43754300,455.038666,455.100006
2002-04-17,3.3575,3.406667,3.2525,94448400,3.079843,3.3575
2010-06-08,2.8625,2.8625,2.7225,96763600,2.563859,2.795
2004-11-01,1.2225,1.2325,1.206667,65389200,1.129811,1.231667
2006-03-06,4.176667,4.204167,4.068333,52902000,3.750237,4.088333
2022-08-29,160.199997,163.380005,157.669998,49613200,157.84523,158.009995
2018-04-16,57.942501,58.209999,56.919998,35079200,57.296089,57.872501
2005-04-01,2.004167,2.015833,1.949167,51075600,1.798677,1.960833
2021-06-14,179.059998,180.395004,176.627502,32137600,179.877136,180.1875
2016-08-25,15.49,15.4975,15.19,40603200,15.1381,15.3825
2022-04-14,225.050003,227.770004,211.630005,56909700,212.313416,212.580002
2015-08-06,5.1325,5.17,5.0275,65567600,4.951118,5.1125
2009-11-11,3.3375,3.455,3.3325,87151200,3.095894,3.375
2013-01-28,3.1175,3.1725,3.11,42249200,2.910452,3.1525
2017-04-20,25.067499,25.362499,24.852501,40401600,24.981581,25.315001
2014-02-14,4.3,4.4875,4.2975,81753600,4.224036,4.4775
2020-01-14,62.564999,62.82,61.6875,35908800,61.576481,61.82
2017-12-01,49.827499,50.032501,48.1175,81154800,48.897388,49.419998
2013-10-08,3.8875,3.9425,3.835,29071200,3.626568,3.865
2015-09-04,5.4725,5.56,5.435,28797200,5.288012,5.4375
2019-04-05,47.5,47.912498,47.1325,48174400,47.413288,47.737499
2010-04-23,4.155,4.165,4.0375,75291600,3.770112,4.11
2003-12-11,1.660833,1.766667,1.6575,69487200,1.601457,1.745833
2001-11-07,4.183333,4.381667,4.159167,141914400,3.870252,4.219167
2006-02-23,3.853333,3.879167,3.795,38512800,3.491099,3.805833
2023-09-05,482.230011,488.51001,478.600006,38265300,485.374573,485.480011
2021-05-03,151.25,152.467499,147.875,20391200,148.077988,148.367493
2019-11-12,52.43,52.965,52.077499,28350400,52.1576,52.4025
2018-06-07,66.25,66.370003,64.8125,36944800,65.110596,65.724998
2007-07-25,7.393333,7.498333,7.186667,43719600,6.748286,7.356667
2015-07-29,4.9225,5.0325,4.9025,23268000,4.834906,4.9925
2021-11-15,305.519989,306.440002,292.470001,38490900,299.785706,300.25
2009-12-08,3.9575,3.975,3.805,107551200,3.510974,3.8275
2013-07-18,3.6475,3.66,3.59,34448800,3.395979,3.6375
2007-08-28,8.25,8.283333,7.703333,56002200,7.083102,7.721667
2008-03-19,4.6325,4.6975,4.415,88047600,4.049891,4.415
2015-10-14,6.6075,6.9475,6.6,61214800,6.651956,6.84
2014-12-17,4.935,5.0425,4.775,34559600,4.834979,5.035
2014-01-22,4.02,4.025,3.96,33794000,3.780642,4.0075
2014-03-13,4.59,4.6075,4.4125,38517200,4.202833,4.435
2022-08-25,168.440002,179.470001,168.330002,77069100,178.943222,179.130005
2014-11-28,5.2475,5.2725,5.2,12483200,5.034235,5.2425
2020-01-03,58.775002,59.4575,58.525002,20538400,58.785027,59.017502
2021-12-22,288.910004,295.549988,284.48999,39518400,293.581268,294.0
2016-02-16,6.525,6.7575,6.505,48535200,6.586915,6.7475
2023-04-04,279.660004,280.0,273.070007,36859200,274.441956,274.529999
2019-03-11,37.897499,40.514999,37.422501,85972800,40.011398,40.285
2008-05-27,5.7875,5.8475,5.6775,83285600,5.357045,5.84
2002-10-31,0.943333,0.998333,0.940833,125547600,0.909658,0.991667
2008-09-03,3.0375,3.05,2.8875,71485600,2.673936,2.915
2009-11-18,3.4,3.4125,3.3225,45551600,3.100482,3.38
2019-08-30,42.215,42.715,41.695,29061600,41.681786,41.877499
2011-10-13,3.635,3.8725,3.625,85483200,3.545373,3.865
2023-05-17,295.839996,301.98999,294.299988,43253500,301.683258,301.779999
2012-08-14,3.715,3.72,3.6325,38882800,3.345859,3.6475
2011-10-27,3.79,3.85,3.705,57773200,3.497215,3.8125
2019-02-12,37.0,37.950001,36.855,59106000,37.497189,37.7925
2014-02-24,4.65,4.7625,4.6075,40311200,4.459883,4.7275
2009-02-23,1.935,1.945,1.8025,67954800,1.664903,1.815
2013-05-01,3.4425,3.465,3.4,34131600,3.169817,3.4125
2021-09-10,223.479996,226.259995,222.699997,24837600,224.432404,224.779999
2017-08-08,43.4725,43.639999,42.177502,75533600,42.058495,42.575001
2002-03-27,3.856667,3.935,3.725,106801200,3.478104,3.791667
2009-08-18,3.215,3.37,3.2125,63620000,3.05691,3.3325
2019-04-16,46.57,47.2425,46.240002,39496400,46.732944,47.052502
2022-02-09,256.220001,267.25,253.529999,52428200,266.669647,267.049988
2007-08-20,7.518333,7.6,7.391667,51968400,6.864479,7.483333
2015-05-14,5.2525,5.35,5.24,29305200,5.130738,5.3225
2001-08-22,3.453333,3.536667,3.34375,149810400,3.240753,3.532917
2004-07-28,1.220833,1.225,1.158333,50511600,1.093883,1.1925
2001-06-14,3.8575,3.96625,3.802083,94615200,3.577096,3.899583
2011-11-04,3.63,3.7175,3.5725,65484000,3.398604,3.705
2001-09-17,2.96,3.0325,2.818333,113859600,2.598258,2.8325
2016-05-25,11.375,11.4225,11.2025,45807600,11.092641,11.2925
2008-03-07,4.87,5.08,4.75,76750000,4.483315,4.8875
2021-07-23,196.559998,197.0,192.5,19567200,195.243134,195.580002
2023-01-24,188.270004,194.949997,188.199997,49620400,192.555527,192.649994
2019-04-11,48.049999,48.3675,47.387501,37460000,47.559788,47.884998
2012-08-08,3.535,3.595,3.525,51706400,3.263302,3.5575
2021-05-27,156.997498,157.5,154.600006,58147600,154.577789,154.880005
2017-02-08,29.6,29.827499,29.094999,44958000,29.225071,29.6525
2001-10-23,3.8325,3.900833,3.633333,95302800,3.41007,3.7175
2019-10-22,49.575001,50.6325,48.825001,32872000,48.67395,48.9025
2013-01-03,3.18,3.2175,3.145,29888800,2.938149,3.1825
2014-02-05,3.8675,3.88,3.83,21467600,3.641491,3.86
2020-04-07,69.324997,69.5625,64.324997,78452000,64.540993,64.7575
2010-09-30,3.0075,3.0425,2.895,78763200,2.678522,2.92
2012-07-27,3.3,3.38,3.275,37651600,3.091309,3.37
2020-10-19,139.029999,139.835007,134.067505,29806800,134.627869,134.977493
2005-08-23,2.410833,2.441667,2.4025,25446000,2.22828,2.429167
2016-01-19,6.9175,7.1125,6.805,45714000,6.669893,6.8325
2016-07-11,12.895,13.1,12.88,44877600,12.774837,13.005
2006-10-25,5.468333,5.55,5.376667,38943600,5.014586,5.466667
2022-08-04,188.490005,192.740005,187.600006,40965200,191.949615,192.149994
