Date,Open,High,Low,Volume,Adj Close,Close
2012-04-30,3.2275,3.2675,3.205,26226800,2.981231,3.25
2014-12-26,5.1425,5.175,5.13,5263600,4.94301,5.1475
2012-09-27,3.3025,3.325,3.275,55888800,3.045444,3.32
2019-12-26,59.689999,60.080002,59.5,18285200,59.561947,59.797501
2005-03-16,2.104167,2.1375,2.075833,53535600,1.904932,2.076667
2002-09-25,0.783333,0.795833,0.7525,89661600,0.71626,0.780833
2013-10-03,3.8875,3.9225,3.8275,43676800,3.607801,3.845
2014-06-24,4.67,4.7075,4.585,27578000,4.384033,4.605
2017-10-05,45.465,45.5,44.889999,43736400,44.683552,45.192501
2017-06-19,38.352501,39.3825,38.314999,77817600,38.852871,39.330002
2009-05-06,2.9825,3.01,2.8325,93508800,2.651003,2.89
2011-04-07,4.375,4.5525,4.3575,102120800,4.150792,4.525
2020-05-04,70.220001,72.959999,70.220001,31755600,72.579018,72.822502
2006-07-27,3.418333,3.558333,3.361667,69433800,3.14023,3.423333
2009-01-30,2.055,2.11,1.9625,50676000,1.823138,1.9875
2009-02-17,2.0,2.0475,1.95,77957600,1.795619,1.9575
2015-06-29,5.125,5.1775,5.0225,39172400,4.871221,5.03
2000-08-14,2.71875,2.744792,2.625,10857600,2.486749,2.710938
2002-03-21,3.9425,4.129167,3.838333,172171200,3.744886,4.0825
2004-09-16,1.1525,1.1875,1.148333,81002400,1.078594,1.175833
2017-12-13,48.125,48.137501,46.470001,55428000,46.052792,46.544998
2023-05-22,309.01001,315.200012,306.799988,37200000,311.660065,311.76001
2009-06-05,2.7725,2.7725,2.675,55999200,2.483596,2.7075
2020-05-19,87.902496,90.875,87.627502,71732000,87.760597,88.055
2016-03-16,7.975,8.3025,7.9375,36364400,8.107493,8.275
2021-03-23,132.542496,133.445007,130.212494,22204800,130.452469,130.707504
2015-07-09,4.99,5.0125,4.8225,35758800,4.699322,4.8525
2016-05-20,10.955,11.1275,10.9375,39108400,10.858164,11.0825
2022-01-28,220.119995,228.580002,212.960007,54377400,228.074722,228.399994
2016-12-13,22.522499,23.0725,22.512501,38779600,22.463949,22.7925
2013-07-19,3.615,3.6325,3.5225,48053200,3.323625,3.56
2000-08-28,3.140625,3.291667,3.104167,18926400,2.981231,3.25
2004-02-20,1.959167,2.016667,1.948333,61812000,1.845307,2.011667
2023-07-13,445.179993,461.549988,444.920013,47820400,459.670105,459.769989
2007-03-28,4.921667,4.963333,4.86,45950400,4.465734,4.868333
2005-08-11,2.321667,2.358333,2.299167,70155600,2.159483,2.354167
2015-10-27,7.08,7.155,7.075,20826800,6.914533,7.11
2024-04-16,864.330017,881.179993,860.640015,37045300,874.150024,874.150024
2023-12-14,483.899994,486.700012,474.220001,39123200,483.477325,483.5
2004-06-15,1.7075,1.73,1.688333,39458400,1.563236,1.704167
2022-04-01,273.75,274.959991,262.670013,51723500,266.785065,267.119995
2018-12-18,36.337502,37.5825,36.0625,56437200,36.447948,36.735001
2009-02-18,1.9575,2.075,1.955,64625200,1.843777,2.01
2013-05-29,3.61,3.6325,3.595,33505200,3.370305,3.61
2013-03-25,3.1375,3.14,3.08,36207600,2.881863,3.1025
2000-11-08,3.015625,3.015625,2.848958,18708000,2.653965,2.893229
2007-02-27,5.3,5.425,5.188333,71463000,4.766915,5.196667
2021-10-26,239.889999,252.589996,239.240005,48589800,246.787796,247.169998
2007-11-07,9.47,9.5075,8.95,54676800,8.278652,9.025
2020-05-14,78.417503,80.360001,76.875,60231200,80.036514,80.305
2012-06-22,3.25,3.2875,3.205,86536000,2.981231,3.25
2023-06-15,426.019989,432.890015,421.470001,56862200,426.437347,426.529999
2016-07-14,13.265,13.45,13.155,31689200,13.094084,13.33
2014-01-06,3.9575,4.0,3.92,40949200,3.745264,3.97
2007-06-29,7.045,7.046667,6.881667,51657000,6.315628,6.885
2012-06-13,3.125,3.1325,3.03,49427600,2.793185,3.045
2018-02-06,51.099998,56.424999,51.0,111480000,55.798626,56.395
2002-09-10,0.766667,0.920833,0.765833,231763200,0.80799,0.880833
2023-10-05,440.5,449.0,438.880005,39348300,446.819763,446.880005
2022-11-25,163.179993,164.869995,161.720001,16793400,162.578613,162.699997
2012-06-21,3.36,3.36,3.2025,51637600,2.944541,3.21
2017-03-03,24.6425,24.692499,24.055,86469200,24.283403,24.6075
2003-05-20,1.674167,1.695833,1.666667,88412400,1.544125,1.683333
2016-12-19,24.924999,25.612499,24.75,74465600,25.041254,25.407499
2022-10-05,129.110001,133.210007,126.209999,50713100,131.99144,132.089996
2008-09-11,2.55,2.63,2.49,106697600,2.362053,2.575
2000-10-25,2.669271,2.708333,2.486979,38551200,2.298033,2.505208
2000-04-19,1.829427,1.854167,1.666667,27835200,1.549141,1.688802
2019-07-08,39.4575,39.647499,39.0,32978800,39.080132,39.302502
2009-04-17,2.92,2.9675,2.85,69576400,2.696867,2.94
2005-05-06,1.9275,1.931667,1.883333,35572800,1.771157,1.930833
2003-09-23,1.590833,1.6125,1.57,62893200,1.470741,1.603333
2011-03-16,4.375,4.5875,4.325,147652000,4.020076,4.3825
2018-09-13,67.714996,68.75,67.540001,30553600,67.237656,67.834999
2017-09-26,44.112499,44.669998,42.587502,112562000,42.505856,42.990002
2015-10-28,7.155,7.1675,7.05,21703600,6.970453,7.1675
2006-07-18,3.07,3.161667,2.96,97933200,2.871156,3.13
2013-04-04,3.0225,3.0725,3.0125,29467600,2.844708,3.0625
2007-11-27,7.485,7.72,7.4275,45885600,7.060933,7.6975
2019-04-04,47.0,47.4925,46.432499,45737600,46.745358,47.064999
2004-05-26,1.8375,1.9,1.826667,52456800,1.719942,1.875
2018-09-20,66.762497,67.190002,66.025002,43058400,65.983795,66.57
2009-08-19,3.2825,3.315,3.25,55299600,3.022511,3.295
